name,value,score
Sule,4210,316
Kimmich,5690,314
Zagadou,1660,312
Tah,4080,306
Hummels,4230,303
Ginter,2880,297
Hakimi,1890,296
Knoche,670,290
Moisander,730,284
Jantschke,690,281
Piszczek,1100,281
Kempf,800,279
Margreitter,690,279
Akanji,3350,278
Elvedi,2570,278
Anton,1590,277
Beyer,50,273
Brooks,1740,273
Kabak,200,271
Dragovic,900,271
Hoffmann,50,270
Boateng,4310,268
Bicakcic,730,265
Baumgartl,950,263
Diallo,2580,263
Orban,1650,261
Pavard,2990,260
Stark,1700,259
Halstenberg,1000,257
Bell,880,256
Bungert,50,251
Falette,100,251
Torunarigha,600,249
Heintz,1060,247
Veljkovic,1520,246
Tisserand,710,246
Gouweleeuw,1090,245
Upamecano,2800,245
Roussillon,1130,245
Stafylidis,130,244
William,950,242
Ayhan,180,240
Gebre Selassie,560,240
Niakhate,930,238
Hinteregger,1280,237
Hack,300,236
Alaba,4580,236
Hubner,550,235
Valentini,50,233
Vogt,1840,232
Nastasic,2500,229
Wimmer,790,227
Muhl,600,226
NDicka,850,226
Ewerton,50,225
Bender,1930,224
Wendt,580,223
Rafinha,430,221
Sane,2420,219
Oczipka,950,217
Wendell,2330,217
Langkamp,50,217
Gulde,600,215
Kaderabek,980,214
Kaminski,450,213
Nuhu,550,210
Brosinski,570,209
Giesselmann,420,208
Posch,50,208
Schmelzer,630,205
Konate,1220,205
Rekik,1100,205
Guerreiro,1600,203
